Title,Date,Path
The Second of May,1884,imagenes-sorolla/The Second of May.jpg
Doctor Joaquín Decref y Ruiz,1907,imagenes-sorolla/Doctor Joaquín Decref y Ruiz.jpg
Saint in Prayer,1888-1889,imagenes-sorolla/Saint in Prayer.jpg
And They Still Say Fish Is Expensive!,1894,imagenes-sorolla/And They Still Say Fish Is Expensive!.jpg
Strolling along the Seashore,1909,imagenes-sorolla/Strolling along the Seashore.jpg
Guitarrista,1889,imagenes-sorolla/Guitarrista.jpg
Bañando un caballo,1909,imagenes-sorolla/Bañando un caballo.jpg
Lucrecia Aran con sun hijo,1906,imagenes-sorolla/Lucrecia Aran con sun hijo.jpg
Día nublado en la playa de Valencia,1901,imagenes-sorolla/Día nublado en la playa de Valencia.jpg
Granada,1910,imagenes-sorolla/Granada.jpg
Peregrinación,1915,imagenes-sorolla/Peregrinación.jpg
